summary,city,state,date_time,shape,text,city_latitude,city_longitude
"4 lights appearing in and out of Rancho Cucamonga, CA.",Rancho Cucamonga,CA,2014-08-28T20:00:00,light,"4 lights appearing in and out of Rancho Cucamonga, CA I was coming down from a hike off the Etiwanda Preserve Trail in Rancho Cucamonga.  My boyfriend first noticed the lights in the sky and it was odd that they weren't moving.  They didn't have the same lights that you would see on a helicopter and plane.    We saw planes coming in from a different direction as there is a airport near by.  However, unlike the airplanes, there was no movement, no change in size, and they would appear and disappear at the exact same location they had been originally.   The more we watched I noticed another light off in the distance doing the same thing.  The lights also didn't twinkle the same way as the lights in the city below did, they definitely had.  They seemed to have a more unstable light and more of pulsing light from them.  I would see them appear and disappear and not change location.   As they disappeared the light became more faint and pulsed more.   As we got in our car and went closer to the bottom of the mountain we noticed that! we were too low to see them (we originally knew they were low because we saw helicopters fly under them).   Here are a couple videos I recorded: https://www.youtube.com/watch?v=ii6tTpMt01s https://www.youtube.com/watch?v=d2L-RCHI40M",34.131319269776874,-117.57976085192698
"Blue/green light changed to white, and then red.  Made hairpin 90 degree turns without slowing down.",San Diego,CA,2014-11-01T18:40:00,teardrop,"Blue/green light changed to white, and then red.  Made hairpin 90 degree turns without slowing down. I was on the side of my house smoking a cigarette when I saw a strange light come into my view beyond the neighbors roof.  I didn't think much of it at first since I see alot of helicopters and commercial aircraft every day in this area.  As I continued to watch this light in the eastern sky, it seemed to change color and the light almost looked as if it was revolving on top of whatever this thing was. The next strange thing I noticed is that it was making no sound what so ever, and was definitely close enough that if it had been a helicopter or other commercial aircraft, it definitely would have been making noise. I continued to watch this thing travel to the south when it made a total hairpin 90 degree turn and almost seemed to change shape as it went behind the tree.  I got up and went into my front yard and continued to watch this light change color and make what looked to be impossible movements in the sky, but traveling now to the east/southeast. The craft appeared to lower up and down a few times, and then go back to the south.  It changed from blue/green to white and then to red before it traveled out of my vision behind a row of trees. I can't be sure if the light or craft changed shape, but it looked as if it did for a second...but overall it seemed to maintain a triangle or teardrop shape throughout the sighting.",32.78722907702984,-117.14026773074254
My sister called me and told me to immediately go outside and look in the sky. I watched dozens of Orange lights travel from north to s,Chicago Heights,IL,2014-11-01T20:12:00,light,"My sister called me and told me to immediately go outside and look in the sky.  I watched dozens of orange lights travel from north to south in random, unorganized groups.   I saw dozens, my sister stated she watched for several minutes before calling me and she saw at least a hundred of the lights.   I tried to search online to see if there was military or massive airline movement but found nothing.   There was no sound, and I would really like an explanation. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",41.51374166666667,-87.59997196969697
"Very very large triangular object outlined with lights appearing from the west, stopping briefly, then disappearing in the east at a ve",Troy,MI,1999-09-24T19:30:00,triangle,"Very very large triangular object outlined with lights appearing from the west, stopping briefly, then disappearing in the east at a very high rate of speed. At 7:30pm (dusk) my two children aged 5 and 10 were playing in the back yard. I heard them calling for me (Dad! Dad!) in very excited voices. Before I could get outside, they arrived at the door out of breath, telling me of a huge triangular shaped object that hovered over the area, then ""took off"" at a such a high rate of speed that the lights around the edges, and other lights on the bottom, were blurred. No sound was heard. Shortly after the craft disappeared past the eastern tree line, both boys described a very bright red light beam apparently coming up from the ground in the north, then falling back down to the ground. From the vantage point that they took me to, I did see a jet passing overhead, and asked them if that was what they saw. They both immediately insisted that that was too small, and spread their arms apart wide to show me how big the object that they saw had been. I asked both boys, who have never made up stories before, to come inside and draw pictures of what they saw. I sent both boys to separate bedrooms to make a picture and them bring them to me separately. Both boy's drew the same picture without collaborating. I am convinced, that they did see something very unusual.",42.56675797546012,-83.15395782208589
"Two U.F.O observed first. Then Three , Then more. Six in total. Had to have been Space Craft with all of the manuevers.",Sheridan,WY,2014-11-01T22:00:00,sphere,"Two U.F.O observed first. Then Three , Then more. Six in total. Had to have been Space Craft with all of the manuevers. I think they were space craft by the maneuvers they did in the sky.  They where round in shape as observed. Bright yellow white in color.  Two sighted first.  Then three. Others flew up to them.  Others appeared I think it was. .  Some faded away either leaving the area  or turned there lights off.  One proceeded to fly northwest.  The first ones where heading north.  Also one dropped down to make all appear in an L shape.  My sister seen them after getting off of work last night.  She is going to write down what actually  occurred.  She has a photo of one.  Poor shot I guess.  She drove to a darker part of town to view objects better.  Objects seemed to be in the sky just on the edge of Sheridan to the north.  The craft ran silent.  I found my sisters story very exciting.",44.7777,-106.83860000000001
((HOAX??))  A stream of ten lights hovering above the city for about three minutes.,Troy,OH,2014-11-01T22:20:00,formation,"A stream of ten lights hovering above the city for about three minutes. There where about nine or ten hovering above the city for about three minutes.  Then a few disappeared while the others moved arcossed the sky till they disappeared as well. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  Time and date provided by witness are incorrect.  Possible hoaxed report, we suspect?  PD))",40.03583043478261,-84.17787898550725
It literally looked like a roundish rectangular loaf of bread flying through the sky.,Simpsonville,SC,2014-11-01T22:30:00,rectangle,"I was just walking my dog in the neighborhood, Simpsonville, SC, like I do every night, and I kept feeling like I was seeing something out of the corner of my eye and I would look up but there was nothing but stars, and a plane.   Finally about the third time I looked up, I saw a void in the sky, it took me a second to focus on it because there were no lights, no sound, just a shape cruising across the sky.  I have no idea how high up it was, it was not at the height of a plane but was definitely way above the tree line, and all I could see was a shape.  It literally looked like a roundish rectangular loaf of bread flying through the sky.  There was no color to it, just a shape.   It went in a straight line, at what looked like a very consistent speed, and I was able to watch it all the way across the sky above me, until it flew out of sight.   At first I thought the wind had caught something up but it was so steady, just cruising along, and the wind doesn't move things! like that, not to mention the wind was blowing in a completely different direction, at least that is how it felt.  It's hard to describe how I felt, bewildered would probably be the best description, oh, that and...a little crazy.  I keep trying to rationalize it but I just can't.   By far the coolest thing I have ever seen in my life.",34.743073664122136,-82.23924389312977
Red fireball floating in sky.,Simi Valley,CA,2014-11-01T22:35:00,fireball,Red fireball floating in sky. I was sitting on my couch and seen a bright red light out of the corner of my eye.  I turned and looked and it was a red fireball floating in a slow upward diagonal motion.  Called my son and we both went out side on the patio to watch it.  After awhile it flickered on and off about about 4 times moving in a much faster sideways motion and then disapeared.  The whole thing lasted about 10 minutes.,34.26942403433477,-118.76270987124464
Flame looking object.,Spring Hill,FL,2014-11-01T22:45:00,fireball,"Flame looking object My Wife first noticed it then said look at that as we were sitting on our back porch looking east which was what seemed to be a flying fireball object with no sound and moving pretty quicky,  Then it went behind the trees and we lost sight of it. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",28.4692090625,-82.5392425
Multiple crafts illuminated with white and gray light,South Bend,IN,2014-11-02T01:00:00,teardrop,"multiple crafts illuminated with white and gray light There was a slightly illuminated craft that appeared at 1:12 am.  This craft was flashing black, white, and gray.   Soon thereafter, approximately 8 more crafts appeared in a V formation.  It appeared to be flying by flapping mechanisms with occasional high pitched wails.",41.67504576271187,-86.27111065375303
Glowing flame like red object.,Oakland,CA,2014-11-02T01:30:00,oval,"Glowing flame like red object. A Red Flame like glowing center area with red spikes running from front to back and side to side( x-like)shape with oval flame center.  Traveling from north to south with one course correction over San Pablo Ave. area just north of downtown Oakland, CA.  The object seemed to be at a mid to low altitude (it was in front of the background scattered clouds).  The object seemed to make no sound.",37.80316672771673,-122.2309960927961
2 objects - both 5-7 lighst each in a chevron shape - flying slowly with no noise - three times faster than a DJI drone,Venice,CA,2014-11-02T01:30:00,chevron,"2 objects - both 5-7 lighst each in a chevron shape - flying slowly with no noise - three times faster than a DJI drone Two sets of 5-7 lights flying at 2 heights within 15 minutes of each other. 1st was flying about 5 miles from LAX and above Santa Monica Airport - flying paralelle to beach - flying lower than commercial airlines, but slightly heigher than planes/jets taking off from Santa Monica airport. 2nd set was seen flying perpendicular to the first vessel, but slower and much lower - under 2000 feet and headed directly out over into ocean.  Speed was slower than most planes from Santa Monica airport. Looked like the vehicles were white or metalic/see through reflecting light from city.  Very smooth flight.  NO noise at all, which would never happen. I own DJI drones and observes planes all day from LAX and Santa Monica airport, but this was NOT the case.  No sound and flight looked Delta formation and could have been changing shapes to thinner as it picked up speed to leave the area into the black over ocean. This happened between the first 1-2am before daylight savings time. The sky was clearest in months after a MASSIVE electrical storm the night before.",33.994295145631064,-118.46369223300971
Vanishing lights,Allentown,PA,2014-11-02T04:58:00,circle,"Vanishing lights Two white lights moving extremely fast up and down, the one disappeared so I kept my eye on the last one about 4 seconds later that one have completely vanished as well. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",40.60203012295082,-75.50084323770493
"small silver object, low flying in very strait line emitting what looked to be a thick bright billowy contrail the shape and length of ",Chico,CA,1999-09-24T07:00:00,other,"small silver object, low flying in very strait line emitting what looked to be a thick bright billowy contrail the shape and length of a comet tai ended at a point and abruptly, no dispersion of smoke. In car returning home the last 2 blocks, up in the sky what looked to be at the altitude of a small plane, but I could not make out the object only twice in its flight did I glimpse, the color silver.  What was so odd was the tail of what seemed to be a contrail from the object immediately from the back end that was much thicker than the object itself and extended about 15 lengths of the object into a point, as though it were the tail of a comet.  The contrail was thick and solid, but billowy looking and was very illuminated or bright, but it did appear like smoke that was coming from the object.  It did not trail off in a long dispersed fashion, like it does from high flying aircraft that leave contrails across the sky.  This stuff coming out of this thing was very contained in its appearance.  The object traveled very slow almost 4 min in my vision while I parked the car in the drive went in the house, grabbed the phone came back outside and called my husband at work and proceeded to describe what I was seeing to him.  It traveled as though I were seeing it from the side view but as it moved farther away it was not exactly perpendicular to me.  The path was more like southwest to northeast. (If I have my bearings, correct)  Clear sky and no other aircraft in the area I will send drawing by fax. ((Name deleted)) ((NUFORC Note:  The witness in this case is well known to NUFORC, and we consider her to be a very reliable source of information.))",39.77638902439024,-121.82759634146342
Flash of light on clear sky heading north from south. Very fast. Minutes later 12 different flocks of birds flying in the same path.,Park Rapids,MN,2014-11-02T05:30:00,light,Flash of light on clear sky heading north from south.  Very fast. Minutes later 12 different flocks of birds flying in the same path A flash of light on clear sky heading north from south.  Very fast.  Minutes later 12 different flocks of birds flying (hundreds) birds following in the direction.,46.9967,-95.0898
Bright yellowish sphere cut across sky extrememly fast at what appeared to by a very low altitude. I only saw the orb for a second befo,Weston,CT,2014-11-02T12:30:00,sphere,"Bright yellowish sphere cut across sky extrememly fast at what appeared to by a very low altitude.  I only saw the orb for a second before it was out of sight past roofline of house.  Similar to a shooting star or extremely low altitude meteorite, or object burning in atmoshphere....it was not a reflection, it was not an aircraft.",41.2246,-73.3768
Huge orb like object in picture not visable to naked eye.,Petersburg,KY,2014-11-02T08:20:00,circle,"huge orb like object in picture not visable to naked eye. I was taking a picture of the fog over the water.  The sky around was clear and bright blue. Nothing but pure blue sky was visible however, when I looked at the picture there was a huge glowing bright orb like object.  My husband and I both looked and saw nothing before and after taking the shot.  Just clear blue sky.  I have no idea what this could be.",39.0477,-84.8326
I just want to know what it was.  See the pics.,Olathe,KS,2014-11-02T15:30:00,sphere,I just want to know what it was.  See the pics.,38.86859124423963,-94.83400184331798
"Orange and yellow ball shaped flying object changes rapidly while moving over Sherman Oaks, California.",Sherman Oaks,CA,2014-12-12T19:25:00,other,"Orange and yellow ball shaped flying object changes rapidly while moving over Sherman Oaks, California. Orange and yellow glowing light which looked much like a fire ember, following it a long straight tail of the same color, suddenly the tail burned out and the vapor trails changed to an arch form of white vapor trail looking similar to the body of a jellyfish.  No sound at all and eventually burned out.",34.14653157894737,-118.4467076555024
Red streak moving across the sky.,Lakewood,CA,2014-12-12T19:25:00,changing,"Red streak moving across the sky. It started as a small red streak going by then changed to just a red moving dot.  It then went back to the streak but then appeared to have a ""v"" shaped white light in front of it.  After the ""v"" shape got bigger and wider it slowly disappeared.",33.84574457142857,-118.11620342857142
"The big, fast spacecraft glares in the sky but then disappeared in the clouds 5 min later lights we're moving in the clounds",Palm springs,CA,2014-12-12T19:30:00,diamond,"The big, fast spacecraft glares in the sky but then disappeared in the clouds 5 min later lights we're moving in the clouds A women an i saw a very big an fast spacecraft in the sky around 19:30/7:30 pm an it just disappeared in the clouds an then when i was leaving i saw lights moving around in circles in the the clouds just very freaky the big, fast spacecraft looked like a lemon but a very big lemon an fast. ((NUFORC Note:  Atlas V rocket launch from Vandenberg AFB.  PD))",33.80016511627907,-116.53537286821705
"Orange star-like lights above Bremerton, WA.",Bremerton,WA,2014-12-12T20:00:00,light,"Orange star-like lights above Bremerton, WA. These were orange, looked like a dominant star, such as Venus or North Star but a little more intense and they were pulsating.  When I first saw them they were spread out rather widely, almost in a formation like the Big Dipper, then one by one they started to fade and disappear.  Finally three of them were left and they were almost in a straight line across from each other, then one faded away and then the others.  I just happened to see them when I took my dogs outside.  There were no engine sounds like an airplane, they didn't have any sound.  This was above the Washington Narrows in Bremerton, Washington, between the Manette and Warren Street Bridges area that I saw them.  They looked to be at least the level of the clouds above.",47.599319157088125,-122.6697122605364
2 bright white lights size of headlights on a car  with white light between them that weren't moving and then were just gone.,Palm Coast,FL,2014-12-12T22:20:00,unknown,"2 bright white lights size of headlights on a car  with white light between them that weren't moving and then were just gone. I was in my living room when something caught my eye to my right.  I looked out my windows to my right and up in the sky I saw bright lights.  2 bright white lights about the size of headlights on a car but very close together and in between was just white light.  I was unable to make out anything that the lights were coming from because of the lights.   The lights were stationary, and then began to move to the right ever so slightly.  So slightly that they didn't appear to be moving.  Then they stopped.  Then started moving again.   At this point I jumped up and ran to my back door which is 2 feet from my sofa so it didn't take me long to get outside.  Once outside the lights were gone.  Nothing was there.",29.540924999999998,-81.20838511904762
I was watching tv with my husband and saw a circular item in the sky fly very low and very fast past our house. I said &quot;what the h,Kailua,HI,2014-12-12T20:00:00,circle,"I was watching tv with my husband and saw a circular item in the sky fly very low and very fast past our house.  I said &quot;what the h I was watching tv with my husband and saw a circular item in the sky fly very low and very fast past our house.  I said ""what the hell was that.""  And ran outside (6 steps) it had disappeared.   At the same time my son, who is 11 was on the computer on the other side of the house.  He ran out and said ""  I just saw a UFO"" he was certain, and made a sketch.  He did not hear me, and was relieved I saw it too.   At the same time, all the dogs in the neighborhood started barking.  It was really weird.  Clearly not a plane and too big and fast to be a drone.  Also, it flew really quite low.   I have never spotted any UFOs before today.",21.4024,-157.7405
"while driving home from a football game, my family and i saw 3 lights on the horizon",Wharton,OH,1999-09-22T21:30:00,triangle,"while driving home from a football game, my family and i saw 3 lights on the horizon we were driving home from a football game and my bro looked out the window and he noticed three lights nearly in a straight line.  it appeared to be getting closer. it came towards us (west) and i had my mom turn to it and we went down the road, heading right for it.  apparently, it also saw us, and it instantly began the other way (east) this time at an amazing speed.  it didn't turn, it just went the other way.  there was no or nearly no sound. it was only about 150-200 feet over the houses. it was nearly over Carey, Oh. then it tipped slightly up and then it was gone.  just that quick.   my estimation on the size, judging on the trees in the area, is about 1/4 of a mile wide.",40.8614,-83.4616
Similar airplane lighted and look (except red and blue) of object that was stationary and not making any disernible noise.,McGehee,AR,2014-12-13T04:40:00,cylinder,"Similar airplane lighted and look (except red and blue) of object that was stationary and not making any disernible noise. Me and my son were leaving to go deer hunting.  Saw the red and blue lights on either end or side and thought it must be an airplane but soon realized it wasn't moving and that it wasnt a helicopter.  Asked my son to get back out of truck to look and used my binoculars to look at it.  Both of us noticed what appeared to be a reflective ball underneath that could not be seen with the naked eye.  It was still in the same position when we left approximately 5 minutes later.   I AM NOT A UFO PHANATIC; however, it must have had some purpose.  Google Earth maybe?",33.6284,-91.3569
Bright yellow-white sphere/orb light inside 4th floor bedroom window.,Decatur,GA,2014-12-13T02:00:00,light,"Bright yellow-white sphere/orb light inside 4th floor bedroom window. I was awakened in middle of the night by a brilliant yellow/white orb-like light that was beaming on me.  I had been asleep, facing the wall - away from the window.  The bright light appeared inside the bay window in our 4th floor condo bedroom.  Sat up and turned to look at the huge orb.  It made no sound and disappeared within seconds. ((NUFORC Note:  We have assigned an arbitrary time above, to reflect a sighting ""in the middle of the night.""  PD))",33.744850632911394,-84.26857784810126
Cluster of lights in the sky in southern Oregon.,Grants Pass,OR,2014-12-12T22:45:00,light,"Cluster of lights in the sky in southern Oregon. I live in southern Oregon.  Last night around 10:40 pm, I went out side and saw a very bright cluster of lights, looked to me like a combination of red, blue, and white (or clear looking), from where I am it was in the southeast direction, it was not moving just hovering very high in the sky.    I wasn't sure what i was looking at still not, but i ran back in side to get my camera came back out it was gone, never seen anything like it before. ((NUFORC Note:  Witness elects to remain totally anonymous; provides little contact information.  PD))",42.46357701863354,-123.37069254658387
"Bright, solid white object high in the sky would move slow and dart up and down; then disappeared",El Cajon,CA,2014-12-13T03:00:00,circle,"Bright, solid white object high in the sky would move slow and dart up and down; then disappeared Looked up at the sky and high in the sky saw a bright, solid white circle moving rather slow and then it would dart quickly and stop.  It did this for about 5mins, and then it disappeared.   We know for a fact it wasn't a plane or helicopter.  It was high in the sky. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",32.80505052631579,-116.91756842105264
4 oval shaped blue lights in the sky circling and in a pattern of coming all together.  ((NUFORC Note:  Advertising lights.  PD)),Pawtucket,RI,2014-12-12T20:25:00,oval,4 oval shaped blue lights in the sky circling and in a pattern of coming all together then all separating outward then circling in various patterns.  Cloudy sky and see very bright blue light.,41.87182357142857,-71.3797407142857
One bright white circle and two reddish trangluar flying objects.,Carson City,NV,2014-12-13T04:30:00,circle,"One bright white circle and two reddish trangluar flying objects. there was one bright big white reflective looking circle that would change its shape and size but was not moving fast. sometimes stayed in the same spot.  Then to the right of it miles away there was a reddish triangular one that was flying very fast that broke off into a smaller triangular one.  The big triangular one, and the small triangular one were following each other simultaneous.  When they flew near the bright circular one they ended up disappearing.  The bright circular one eventually turned orange in color and began to shrink till we could not see it anymore.",39.16921421319797,-119.75176954314722
"Moving light in night sky, not airplane or sattelite for sure",Sebring,FL,2014-12-13T06:40:00,unknown,"Moving light in night sky, not airplane or sattelite for sure I looked up at the stars because they were supposed to be a meteor shower tonight.  I saw two stars moving apart.  One was a star the other was not as I looked at it I thought it was just an airplane, but then as I was watching it I thought differently.  It started moving erratic speeding up, slowing down, moving to the left then moving to the right but heading in the same direction, north.  Was very far away, so I couldn't tell the shape.  The color of the light was white very similar to a star,  It was below the trees after about three minutes. I know what I saw and it was not an airplane or a satellite.",27.485831775700934,-81.46044672897196
Orb that moved erratically and shifted from white to a blue violet color. The blue shift seemed to affect my camera's focus. We watched,Winston-Salem,NC,2014-12-13T17:00:00,sphere,Orb that moved erratically and shifted from white to a blue violet color.  The blue shift seemed to affect my camera's focus.  We watched it til it went over the horizon at an unbelievable speed.,36.093568617021276,-80.27833537234042
I video-taped over 4 minutes of incident.,Annapolis,MD,2014-12-13T17:30:00,formation,"I video-taped over 4 minutes of incident. Bright objects larger and brighter than any planet or star in the sky at that time flying in a stretched out pattern, sometime 2 or 3 together, sometimes single objects.  All came from the north west sky from low on the horizon, traveling at the same speed and disappeared from view directly overhead.   When viewed from binoculars objects were red in color and appeared to be not steady but shakey as if they might be spinning.   Notably, there was no noise over the several minutes we observed the phenomenom.",38.974446787148594,-76.52259959839357
Tonight at 10:30PM in the eastern sky just above the mountains we saw what appeared to be Venus or a very bright star and decided to vi,Hailey,ID,1999-09-23T22:50:00,circle,"Tonight at 10:30PM in the eastern sky just above the mountains we saw what appeared to be Venus or a very bright star and decided to view it with a Tasco telescope.  We were startled to see a black hole in the center of the round light with a band of black protruding from the left side and which changed to the right side, and on the opposite side of the black circle was a slight bulge.  We also viewed the moon to make sure our telescope was working correctly and it was.  If this is Venus, why does it have this peculiar black circle in front of it?  Has any one else seen this object tonight? ((NUFORC Note:  Description seems consistent with the location and appearance of Jupiter.))",43.577,-114.214
